team	player	name	pos	carryinpercent	entriesper60	image	hex	sheet
ANA	Ben-Lovejoy	Ben Lovejoy	D	13	9.0	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Ben-Lovejoy	#EF5225	
OTT	Chris-Phillips	Chris Phillips	D	13	5.8	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Chris-Phillips	#E4173E	
PHO	Derek-Morris	Derek Morris	D	12	8.1	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Derek-Morris	#841F27	
NYI	Andrew-MacDonald	Andrew MacDonald	D	12	6.2	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Andrew-MacDonald	#F57D33	
PHI	Luke-Schenn	Luke Schenn	D	12	5.8	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Luke-Schenn	#F47940	
LAK	Willie-Mitchell	Willie Mitchell	D	11	6.1	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Willie-Mitchell	#AFB7BA	
BOS	Dennis-Seidenberg	Dennis Seidenberg	D	11	4.7	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Dennis-Seidenberg	#FFC424	
CAR	Jay-Harrison	Jay Harrison	D	11	7.0	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Jay-Harrison	#E03A3E	
CLB	James-Wisniewski	James Wisniewski	D	11	6.4	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=James-Wisniewski	#00285C	
NJD	Mark-Faine	Mark Faine	D	11	7.8	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Mark-Faine	#E03A3E	
STL	Barrett-Jackman	Barrett Jackman	D	11	6.7	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Barrett-Jackman	#0546A3	
PIT	Matt-Niskanen	Matt Niskanen	D	10	10.4	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Matt-Niskanen	#D1BD80	
TOR	Cody-Franson	Cody Franson	D	10	6.3	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Cody-Franson	#003777	
EDM	Nick-Schultz	Nick Schultz	D	10	6.0	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Nick-Schultz	#E66A20	
EDM	Andrew-Ference	Andrew Ference	D	9	6.4	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Andrew-Ference	#E66A20	
WAS	Karl-Alzner	Karl Alzner	D	9	10.6	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Karl-Alzner	#CF132B	
COL	Jan-Hedja	Jan Hedja	D	9	4.3	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Jan-Hedja	#8B2942	
MTL	Alexei-Emelin	Alexei Emelin	D	9	6.5	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Alexei-Emelin	#BF2F38	
PIT	Brooks-Orpik	Brooks Orpik	D	8	5.5	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Brooks-Orpik	#D1BD80	
VAN	Jason-Garrison	Jason Garrison	D	8	6.1	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Jason-Garrison	#047A4A	
WPG	Mark-Stuart	Mark Stuart	D	8	7.4	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Mark-Stuart	#0168AB	
BOS	Johnny-Boychuk	Johnny Boychuk	D	7	9.6	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Johnny-Boychuk	#FFC423	
COL	Nate-Guenin	Nate Guenin	D	7	4.7	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Nate-Guenin	#8B2942	
NYR	Dan-Girardi	Dan Girardi	D	7	4.9	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Dan-Girardi	#0161AB	
PHO	Michael-Stone	Michael Stone	D	6	8.0	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Michael-Stone	#841F27	
CLB	Fedor-Tyutin	Fedor Tyutin	D	6	5.3	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Fedor-Tyutin	#00285C	
NJD	Jon-Merrill	Jon Merrill	D	5	6.6	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Jon-Merrill	#E03A3E	
MTL	Josh-Gorges	Josh Gorges	D	4	6.9	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Josh-Gorges	#BF2F38	
PIT	Rob-Scuderi	Rob Scuderi	D	4	3.6	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Rob-Scuderi	#D1BD80	
LAK	Robyn-Regehr	Robyn Regehr	D	4	5.6	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Robyn-Regehr	#AFB7BA	
BUF	Mike-Weber	Mike Weber	D	2	4.9	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Mike-Weber	#002E65				
