team	player	name	pos	carryinpercent	entriesper60	image	hex	sheet
BUF	Drew-Stafford	Drew Stafford	F	51	25.5	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Drew-Stafford	#002E68	
CLB	Nick-Foligno	Nick Foligno	F	51	25.6	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Nick-Foligno	#00285C	
COL	Ryan-O'Rielly	Ryan O'Rielly	F	51	19.7	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Ryan-O'Rielly	#8B2942	
NYR	Mats-Zuccarello	Mats Zuccarello	F	51	22.1	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Mats-Zuccarello	#0161AB	
DET	Johan-Franzen	Johan Franzen	F	50	24.1	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Johan-Franzen	#EC1F26	
MIN	Jason-Pominville	Jason Pominville	F	50	19.3	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Jason-Pominville	#025736	
TOR	Mason-Raymond	Mason Raymond	F	50	29.0	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Mason-Raymond	#003777	
FLO	Tomas-Fleischmann	Tomas Fleischmann	F	50	20.0	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Tomas-Fleischmann	#C8213F	
LAK	Jeff-Carter	Jeff Carter	F	50	22.0	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Jeff-Carter	#AFB7BA	
MTL	Brian-Gionta	Brian Gionta	F	50	20.3	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Brian-Gionta	#BF2F38	
PHO	Shane-Doan	Shane Doan	F	50	23.2	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Shane-Doan	#841F27	
STL	TJ-Oshie	TJ Oshie	F	50	23.5	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=TJ-Oshie	#0546A5	
VAN	Chris-Higgins	Chris Higgins	F	50	20.2	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Chris-Higgins	#047A4A	
VAN	Zack-Kassian	Zack Kassian	F	50	20.7	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Zack-Kassian	#047A4A	
STL	Patrik-Berglund	Patrik Berglund	F	50	19.4	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Patrik-Berglund	#0546A7	
STL	Jaden-Schwartz	Jaden Schwartz	F	50	23.6	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Jaden-Schwartz	#0546A4	
SJS	Tyler-Kennedy	Tyler Kennedy	F	49	22.9	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Tyler-Kennedy	#05535D	
